Business Name,Address No,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Total Assistance Offered by Invest NI (£),Date Offer Made (Issued Date),Accepted Date,Source of Funding (Scheme),Jobs to be Created (Promoted),Total Investment by Company (Includes Invest NI Assistance) £,Sector,Start Up (Y/N),Conditions of Offer,District Council,No of Employees in Company
CJS Payroll Limited,Unit 3,Montgomery Business Park,38 Montgomery Road, ,Belfast,Co. Antrim,Northern Ireland,BT6 9HL,"9,000",19-Apr-13,1-May-13,Selective Financial Assistance (The Jobs Fund),3,"80,000",Financial Services,N,Job Creation,CASTLEREAGH,1
CJS Payroll Limited,Unit 3,Montgomery Business Park,38 Montgomery Road, ,Belfast,Co. Antrim,Northern Ireland,BT6 9HL,"6,628",7-Nov-13,10-Dec-13,Skills Accelerator Grant,0,"13,256",Financial Services,N,Skills Development,CASTLEREAGH,1
CK Autotie Balers Ltd,66a,Kilnacart Road, ,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1PD,"49,000",8-Jun-12,21-Jun-12,Selective Financial Assistance (The Jobs Fund),7,"268,000",Engineering,N,Job Creation,DUNGANNON,5
CK Autotie Balers Ltd,66a,Kilnacart Road, ,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1PD,"41,000",22-Jun-12,5-Jul-12,Grant For Research And Development,0,"110,392",Engineering,N,Research and Development,DUNGANNON,5
CK Autotie Balers Ltd,66a,Kilnacart Road, ,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1PD,"18,600",10-Aug-12,16-Jan-13,Growth Accelerator Programme (GAP),0,"60,500",Engineering,Y,Other,DUNGANNON,5
CK Autotie Balers Ltd,66a,Kilnacart Road, ,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1PD,"45,065",10-Feb-14,17-Feb-14,Grant For Research And Development,0,"112,663",Engineering,N,Research and Development,DUNGANNON,5
CK Engineering (NI) Limited,Units 9-11,Sperrin Business Park, ,Ballycastle Road,Coleraine,Co. Londonderry,Northern Ireland,BT52 2DH,"11,304",17-Jun-11,12-Sep-11,Growth Accelerator Programme (GAP),1,"28,260",Engineering,N,Job Creation,COLERAINE,4
CK Engineering (NI) Limited,Units 9-11,Sperrin Business Park, ,Ballycastle Road,Coleraine,Co. Londonderry,Northern Ireland,BT52 2DH,"4,104",28-Mar-12,9-Apr-12,Growth Incentive,0,"10,260",Engineering,N,Other,COLERAINE,4
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"33,209",15-Sep-11,16-Sep-11,Grant For Research And Development,0,"73,798",Engineering,N,Research and Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"46,563",16-Aug-12,24-Aug-12,Grant For Research And Development,0,"103,474",Engineering,N,Research and Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"37,305",11-Apr-13,18-Apr-13,Grant For Research And Development,0,"84,901",Engineering,N,Research and Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"39,338",21-Oct-13,5-Nov-13,Grant For Research And Development,0,"98,344",Engineering,N,Research and Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"1,600",26-Nov-13,29-Nov-13,Business Growth Programme (The Jobs Fund),0,"3,200",Engineering,N,Other,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"22,685",20-Jan-14,31-Jan-14,MIS,0,"60,174",Engineering,N,Innovation and Technical Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"5,000",26-Mar-14,26-Mar-14,Technical Development Incentive (TDI),0,"10,000",Engineering,N,Innovation and Technical Development,DUNGANNON,50
CK International Limited,38a,Eglish Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LA,"42,000",12-Aug-14,18-Sep-14,Business Growth Programme (The Jobs Fund),3,"210,000",Engineering,N,Job Creation,DUNGANNON,50
CK Motor Care,72,Marianus Park, , ,Derry,Co. Londonderry,Northern Ireland,BT48 0QU,"1,000",25-Feb-13,12-Mar-13,NRA Business Start Grant (The Jobs Fund),1,"9,000",Business Services,Y,Job Creation,DERRY,1
Claddagh Art, ,Claddagh House,Seskinore, ,Omagh,Co. Tyrone,Northern Ireland,BT78 2QQ,"1,600",25-Jul-14,4-Sep-14,MIS,0,"4,000",Creative,N,Innovation and Technical Development,OMAGH,1
Claims Unlimited Limited,100,Patrick Street, , ,Londonderry,Co. Londonderry,Northern Ireland,BT48 7EL,"13,920",8-Mar-13,13-Mar-13,Growth Accelerator Programme (GAP),0,"34,800",Business Services,Y,Other,DERRY,1
Claims Unlimited Limited,100,Patrick Street, , ,Londonderry,Co. Londonderry,Northern Ireland,BT48 7EL,"45,000",26-Mar-13,3-Apr-13,Selective Financial Assistance (The Jobs Fund),9,"284,000",Business Services,N,Job Creation,DERRY,1
Clanconnel Brewing Company Limited,36,Bowens Lane, , ,Lurgan,Co. Armagh,Northern Ireland,BT66 7JA,"16,700",26-Oct-12,10-Dec-12,Growth Accelerator Programme (GAP),0,"33,400",Drink,N,Other,CRAIGAVON,1
Clanrye Group Limited,89,Slieve Gullion Courtyard,89 Dromintee Road,Killeavy,Newry,Co. Armagh,Northern Ireland,BT35 8SW,"5,000",5-Oct-11,11-Oct-11,Social Entrepreneurship Programme,0,"5,000",Business Services,Y,Other,NEWRY & MOURNE,1
Clanrye Group Limited,89,Slieve Gullion Courtyard,89 Dromintee Road,Killeavy,Newry,Co. Armagh,Northern Ireland,BT35 8SW,"5,000",30-May-13,19-Jun-13,Social Entrepreneurship Programme,5,"29,600",Business Services,N,Job Creation,NEWRY & MOURNE,1
Clarehill Plastics Limited,21,Clarehill Road, , ,Moira,Co. Armagh,Northern Ireland,BT67 0PB,"1,363",6-Dec-11,16-Dec-11,Technical Development Incentive (TDI),0,"2,725",General Manufacturing,N,Innovation and Technical Development,LISBURN,55
Clarehill Plastics Limited,21,Clarehill Road, , ,Moira,Co. Armagh,Northern Ireland,BT67 0PB,"3,117",24-Apr-12,25-May-12,Technical Development Incentive (TDI),0,"6,927",General Manufacturing,N,Innovation and Technical Development,LISBURN,55
Clarehill Plastics Limited,21,Clarehill Road, , ,Moira,Co. Armagh,Northern Ireland,BT67 0PB,"1,260",14-Sep-12,21-Sep-12,Technical Development Incentive (TDI),0,"2,800",General Manufacturing,N,Innovation and Technical Development,LISBURN,55
Clarehill Plastics Limited,21,Clarehill Road, , ,Moira,Co. Armagh,Northern Ireland,BT67 0PB,"12,720",10-Oct-13,14-Oct-13,Restructuring Support,0,"31,800",General Manufacturing,N,Other,LISBURN,55
Clarity Business Education Limited,26,Broagh Road,Knockloughrim, ,Magherafelt,Co. Londonderry,Northern Ireland,BT45 8QX,"6,860",29-May-12,29-May-12,Interim Managers,0,"14,000",Creative,N,Skills Development,BELFAST,2
Clarity Telecom Limited,Suite C1,1 Lanyon Quay,Lanyon Place, ,Belfast,Co. Antrim,Northern Ireland,BT1 3LG,"6,465",26-Aug-14,27-Aug-14,Project Definition,0,"12,930",Telecoms,N,Research and Development,BELFAST,35
Clarke Road Contracts Ltd,37,Rock Road,Mountfield, ,Omagh,Co. Tyrone,Northern Ireland,BT79 8HH,"11,115",3-Jul-12,23-Jul-12,Grant For Research And Development,0,"17,100",Construction Products,N,Research and Development,OMAGH,4
Classic Mineral Water Company Limited,12,Church Place, , ,Lurgan,Co. Armagh,Northern Ireland,BT66 6EY,"11,400",29-Oct-12,30-Nov-12,Growth Accelerator Programme (GAP),0,"37,000",Drink,N,Other,CRAIGAVON,14
Classic Mineral Water Company Limited,12,Church Place, , ,Lurgan,Co. Armagh,Northern Ireland,BT66 6EY,"15,410",13-Sep-13,19-Sep-13,MIS,0,"49,867",Drink,N,Innovation and Technical Development,CRAIGAVON,14
Cleantec Equipment Ltd,57A,Gortin Road, , ,Omagh,Co. Tyrone,Northern Ireland,BT79 7HT,"10,000",23-May-14,30-May-14,Selective Financial Assistance (The Jobs Fund),2,"58,000",Business Services,N,Job Creation,OMAGH,Not Available
Cleantec Equipment Ltd,57A,Gortin Road, , ,Omagh,Co. Tyrone,Northern Ireland,BT79 7HT,"4,578",29-Jul-14,11-Aug-14,Growth Accelerator Programme (GAP),0,"12,450",Business Services,N,Other,OMAGH,Not Available
Clear AV Ltd,1,Crescent Business Park, , ,Lisburn,Co. Antrim,Northern Ireland,BT28 2GN,"43,062",14-Mar-13,8-Apr-13,Growth Accelerator Programme (GAP),1,"126,875",Business Services,N,Job Creation,LISBURN,18
Clear AV Ltd,1,Crescent Business Park, , ,Lisburn,Co. Antrim,Northern Ireland,BT28 2GN,"10,000",24-Apr-13,29-Apr-13,Skills Accelerator Grant,0,"21,403",Business Services,N,Skills Development,LISBURN,18
Clear AV Ltd,1,Crescent Business Park, , ,Lisburn,Co. Antrim,Northern Ireland,BT28 2GN,"10,000",19-Jun-14,20-Jun-14,Skills Advancement Grant,0,"21,330",Business Services,N,Skills Development,LISBURN,18
Clear Healthcare,157-153,Roden Street, , ,Belfast,Co. Antrim,Northern Ireland,BT12 5QA,"41,880",24-Apr-13,7-Aug-13,Growth Accelerator Programme (GAP),2,"122,900",Business Services,N,Job Creation,BELFAST,26
Clear Spirit Design Ltd,108,Malone Road, , ,Belfast,Co. Antrim,Northern Ireland,BT9 5HP,"49,832",4-Apr-12,26-Apr-12,Grant For Research And Development,0,"67,340",Clothing,N,Research and Development,BELFAST,1
Clear Spirit Design Ltd,108,Malone Road, , ,Belfast,Co. Antrim,Northern Ireland,BT9 5HP,"12,250",19-Apr-12,1-May-12,Interim Managers,0,"25,000",Clothing,N,Skills Development,BELFAST,1
Clear Spirit Design Ltd,108,Malone Road, , ,Belfast,Co. Antrim,Northern Ireland,BT9 5HP,"8,280",7-Aug-12,9-Aug-12,MIS,0,"16,560",Clothing,N,Innovation and Technical Development,BELFAST,1
Clear Spirit Design Ltd,108,Malone Road, , ,Belfast,Co. Antrim,Northern Ireland,BT9 5HP,"5,000",14-Jun-13,25-Jun-13,Technical Development Incentive (TDI),0,"10,063",Clothing,N,Innovation and Technical Development,BELFAST,1
Clear Spirit Design Ltd,108,Malone Road, , ,Belfast,Co. Antrim,Northern Ireland,BT9 5HP,"9,696",11-Jul-13,27-Aug-13,Growth Accelerator Programme (GAP),0,"88,880",Clothing,Y,Other,BELFAST,1
Clearhill Enterprises Limited, ,Carousel House,Scarva Road Industrial Estate, ,Banbridge,Co. Down,Northern Ireland,BT32 3QD,"4,000",23-Jul-12,25-Jul-12,Growth Incentive,0,"10,000",General Manufacturing,N,Other,BANBRIDGE,25
Clearhill Enterprises Limited, ,Carousel House,Scarva Road Industrial Estate, ,Banbridge,Co. Down,Northern Ireland,BT32 3QD,"25,000",22-May-13,30-May-13,MIS,0,"59,559",General Manufacturing,N,Innovation and Technical Development,BANBRIDGE,25
Clearhill Enterprises Limited, ,Carousel House,Scarva Road Industrial Estate, ,Banbridge,Co. Down,Northern Ireland,BT32 3QD,"39,444",5-Jul-13,18-Jul-13,Growth Accelerator Programme (GAP),2,"98,610",General Manufacturing,N,Job Creation,BANBRIDGE,25
Clearlift Material Handling Limited, ,Carn Industrial Estate,Carn Drive, ,Portadown,Co. Down,Northern Ireland,BT63 5WJ,"7,350",21-Oct-11,8-Dec-11,MIS,0,"15,000",Business Services,N,Innovation and Technical Development,ANTRIM,18
Clearlift Material Handling Limited, ,Carn Industrial Estate,Carn Drive, ,Portadown,Co. Down,Northern Ireland,BT63 5WJ,"49,000",23-Nov-11,8-Dec-11,Selective Financial Assistance (The Jobs Fund),7,"245,000",Business Services,N,Job Creation,ANTRIM,18
Clearlift Material Handling Limited, ,Carn Industrial Estate,Carn Drive, ,Portadown,Co. Down,Northern Ireland,BT63 5WJ,"17,340",21-Nov-11,8-Dec-11,Growth Accelerator Programme (GAP),0,"821,000",Business Services,Y,Other,ANTRIM,18
Clearlift Material Handling Limited, ,Carn Industrial Estate,Carn Drive, ,Portadown,Co. Down,Northern Ireland,BT63 5WJ,"13,230",16-Feb-12,23-Feb-12,Interim Managers,0,"27,000",Business Services,N,Skills Development,ANTRIM,18
Clearlift Material Handling Limited, ,Carn Industrial Estate,Carn Drive, ,Portadown,Co. Down,Northern Ireland,BT63 5WJ,"15,000",28-Sep-12,8-Nov-12,Interim Managers,0,"48,000",Business Services,N,Skills Development,ANTRIM,18
Clearsky Brewing Company Limited,48,Lisnagowan Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3LH,"4,400",31-May-13,26-Jun-13,Technical Development Incentive (TDI),0,"8,800",Drink,N,Innovation and Technical Development,DUNGANNON,1
Clearsky Brewing Company Limited,48,Lisnagowan Road, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3LH,"21,600",1-Oct-13,7-Oct-13,Growth Accelerator Programme (GAP),0,"54,000",Drink,Y,Other,DUNGANNON,1
Clearway Medical Limited, ,C-TRIC,Altnagelvin Hospital Campus,Glenshane Road,Derry,Co. Londonderry,Northern Ireland,BT47 6SB,"2,600",1-Dec-11,16-Dec-11,Technical Development Incentive (TDI),0,"5,200",Business Services,N,Innovation and Technical Development,DERRY,1
Clenaghans Bar & Restaurant,48,Soldierstown Road, , ,Aghalee,Co. Antrim,Northern Ireland,BT67 0ES,"1,566",30-Aug-12,22-Oct-12,MIS,0,"5,221",Tourism,N,Innovation and Technical Development,LISBURN,7
Client Analysis and Relationship Development (CARD) Limited,8,McKibbon House,Eastbank Road,Carryduff,Belfast, ,Northern Ireland,BT8 8BD,"20,832",22-Jun-11,27-Jun-11,Growth Accelerator Programme (GAP),4,"92,080",Business Services,N,Job Creation,CASTLEREAGH,12
Client Analysis and Relationship Development (CARD) Limited,8,McKibbon House,Eastbank Road,Carryduff,Belfast, ,Northern Ireland,BT8 8BD,"32,152",23-Feb-12,27-Feb-12,Grant For Research And Development,0,"45,932",Business Services,N,Research and Development,CASTLEREAGH,12
Client Analysis and Relationship Development (CARD) Limited,8,McKibbon House,Eastbank Road,Carryduff,Belfast, ,Northern Ireland,BT8 8BD,"2,250",8-May-12,5-Jun-12,Technical Development Incentive (TDI),0,"5,000",Business Services,N,Innovation and Technical Development,CASTLEREAGH,12
Client Analysis and Relationship Development (CARD) Limited,8,McKibbon House,Eastbank Road,Carryduff,Belfast, ,Northern Ireland,BT8 8BD,"16,858",22-May-13,25-Jun-13,Growth Accelerator Programme (GAP),1,"41,260",Business Services,N,Job Creation,CASTLEREAGH,12
Clifton Cakes NI,48,Hollybank Road,Parkgate, ,Templepatrick,Co. Antrim,Northern Ireland,BT39 0DL,"1,500",28-Aug-13,8-Oct-13,NEET Business Start Grant (The Jobs Fund),1,"10,000",Business Services,Y,Job Creation,ANTRIM,1
Climatiq Limited, ,The Gate Lodge,89 Main Road, ,Portavogie,Co. Down,Northern Ireland,BT22 1EL,"4,900",15-Feb-13,8-Mar-13,Interim Managers,0,"10,000",Electrical & Electronics,N,Skills Development,ARDS,2
Climatiq Limited, ,The Gate Lodge,89 Main Road, ,Portavogie,Co. Down,Northern Ireland,BT22 1EL,"1,949",16-Aug-13,6-Sep-13,Technical Development Incentive (TDI),0,"3,897",Electrical & Electronics,N,Innovation and Technical Development,ARDS,2
Clinty Chemicals Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"23,587",28-Sep-11,4-Oct-11,Project Definition,0,"47,173",Engineering,N,Research and Development,BELFAST,6
Clinty Chemicals Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"13,030",23-Apr-14,28-Apr-14,Growth Accelerator Programme (GAP),0,"32,575",Engineering,N,Other,BELFAST,6
Clinty Chemicals Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"47,335",8-Jul-14,23-Jul-14,SFA less than 250k,0,"173,590",Engineering,N,Other,BELFAST,6
Clinty Re-Gen Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"2,700",9-Aug-11,29-Aug-11,Technical Development Incentive (TDI),0,"6,000",Engineering,N,Innovation and Technical Development,BELFAST,3
Clinty Re-Gen Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"1,800",9-Aug-11,29-Aug-11,Technical Development Incentive (TDI),0,"4,000",Engineering,N,Innovation and Technical Development,BELFAST,3
Clinty Re-Gen Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"126,725",23-Jul-13,29-Jul-13,Grant For Research And Development,0,"253,450",Engineering,N,Research and Development,BELFAST,3
Clinty Re-Gen Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"2,625",23-Apr-14,28-Apr-14,Growth Accelerator Programme (GAP),0,"5,250",Engineering,N,Other,BELFAST,3
Clinty Re-Gen Limited,6,Northern Road, , ,Belfast,Co. Antrim,Northern Ireland,BT3 9AL,"13,780",23-Jun-14,25-Jun-14,Growth Accelerator Programme (GAP),0,"27,560",Engineering,N,Other,BELFAST,3
Clive Richardson Limited,54,Derrycoose Road,Annaghmore, ,Portadown,Co. Armagh,Northern Ireland,BT62 1LY,"45,856",6-Oct-11,14-Oct-11,Growth Accelerator Programme (GAP),1,"147,640",Construction Products,N,Job Creation,DUNGANNON,110
Clive Richardson Limited,54,Derrycoose Road,Annaghmore, ,Portadown,Co. Armagh,Northern Ireland,BT62 1LY,"42,000",7-Aug-12,10-Aug-12,Selective Financial Assistance (The Jobs Fund),7,"315,772",Construction Products,N,Job Creation,DUNGANNON,110
Clive Richardson Limited,54,Derrycoose Road,Annaghmore, ,Portadown,Co. Armagh,Northern Ireland,BT62 1LY,"11,944",20-Dec-12,4-Jan-13,MIS,0,"51,079",Construction Products,N,Innovation and Technical Development,DUNGANNON,110
Cloane Construction Ltd, ,Cloane Road, , ,Draperstown,Co. Derry,Northern Ireland,BT45 7LW,"6,968",30-Apr-12,19-Jul-12,Growth Accelerator Programme (GAP),0,"17,420",Construction Products,N,Other,MAGHERAFELT,10
Cloane Construction Ltd, ,Cloane Road, , ,Draperstown,Co. Derry,Northern Ireland,BT45 7LW,"35,000",29-Jun-12,19-Jul-12,Selective Financial Assistance (The Jobs Fund),5,"188,000",Construction Products,N,Job Creation,MAGHERAFELT,10
Clonallon Laboratories Ltd,Unit 1 & 2,5 Milltown Industrial Estate, , ,Warrenpoint,Co. Down,Northern Ireland,BT34 3FN,"69,000",11-Jul-13,31-Jul-13,SFA less than 250k,7,"215,000",Life Sciences,N,Job Creation,NEWRY & MOURNE,6
Cloth 1975 Ltd,9,Manor Court,Moira, ,Craigavon,Co. Armagh,Northern Ireland,BT67 0TL,"7,961",17-Apr-14,6-May-14,MIS,0,"17,690",Clothing,N,Innovation and Technical Development,LISBURN,Not Available
Cloud 9 Commercial Innovations Limited, ,MJM Building,Carnbane Business Park, ,Newry,Co. Down,Northern Ireland,BT35 6QH,"49,232",10-Aug-12,22-Aug-12,Grant For Research And Development,0,"175,782",Computer Software & Services,N,Research and Development,NEWRY & MOURNE,2
Cloud 9 Commercial Innovations Limited, ,MJM Building,Carnbane Business Park, ,Newry,Co. Down,Northern Ireland,BT35 6QH,"86,000",10-Sep-12,19-Sep-12,Export Start,8,"810,000",Computer Software & Services,Y,Job Creation,NEWRY & MOURNE,2
Cloud 9 Commercial Innovations Limited, ,MJM Building,Carnbane Business Park, ,Newry,Co. Down,Northern Ireland,BT35 6QH,"25,000",8-Oct-12,12-Oct-12,MIS,0,"60,880",Computer Software & Services,N,Innovation and Technical Development,NEWRY & MOURNE,2
Cloud Operate Limited, ,Forsyth House,Cromac Square, ,Belfast,Co. Antrim,Northern Ireland,BT2 8LA,"48,375",8-Mar-12,11-Apr-12,Grant For Research And Development,0,"110,000",Software,N,Research and Development,BELFAST,4
Cloud Operate Limited, ,Forsyth House,Cromac Square, ,Belfast,Co. Antrim,Northern Ireland,BT2 8LA,"30,200",21-Mar-12,11-Apr-12,Growth Accelerator Programme (GAP),2,"75,000",Software,Y,Job Creation,BELFAST,4
Cloud Operate Limited, ,Forsyth House,Cromac Square, ,Belfast,Co. Antrim,Northern Ireland,BT2 8LA,"80,000",19-Feb-14,27-Mar-14,SFA less than 250k,10,"576,000",Software,N,Job Creation,BELFAST,4
Cloudbuzz Limited,2nd Floor,2 Hibernia Street, , ,Holywood,Co. Down,Northern Ireland,BT18 9JE,"45,000",23-Jun-14,24-Jun-14,Selective Financial Assistance (The Jobs Fund),9,"288,000",Software,N,Job Creation,NORTH DOWN,Not Available
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,788,13-May-11,26-May-11,Technical Development Incentive (TDI),0,"1,575",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"18,962",19-Oct-11,20-Oct-11,MIS,0,"51,756",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"93,880",21-Nov-11,28-Nov-11,Growth Accelerator Programme (GAP),2,"274,520",Food,N,Job Creation,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"2,400",30-Dec-11,12-Jan-12,Business Growth Programme (The Jobs Fund),0,"4,800",Food,N,Other,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"29,600",26-Jan-12,2-Feb-12,Business Growth Programme (The Jobs Fund),3,"76,000",Food,N,Job Creation,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"50,000",23-Oct-12,8-Nov-12,Selective Financial Assistance (The Jobs Fund),10,"322,000",Food,N,Job Creation,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"49,999",7-Nov-12,19-Nov-12,Resource Efficiency Capital Grant,0,"91,700",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"49,999",1-Feb-13,30-Mar-13,Resource Efficiency Capital Grant,0,"108,000",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"8,820",14-May-13,23-May-13,Interim Managers,0,"18,000",Food,N,Skills Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"2,500",16-Aug-13,17-Aug-13,Technical Development Incentive (TDI),0,"5,000",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"11,614",11-Dec-13,13-Dec-13,MIS,0,"31,055",Food,N,Innovation and Technical Development,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,"49,612",3-Feb-14,7-Feb-14,Growth Accelerator Programme (GAP),4,"124,030",Food,N,Job Creation,COOKSTOWN,37
Cloughbane Farm Foods Limited,160,Tanderagee Road,Rock, ,Dungannon,Co. Tyrone,Northern Ireland,BT70 3HS,0,14-Mar-14,14-Mar-14,PMG,5,"316,697",Food,N,Job Creation,COOKSTOWN,37
Clout Media Limited,Unit 210,LEO Enterprise Crescent, , ,Lisburn,Co. Antrim,Northern Ireland,BT28 2SA,"23,428",5-Jul-11,25-Aug-11,Growth Accelerator Programme (GAP),3,"64,260",Creative,Y,Job Creation,LISBURN,2
Clout Media Limited,Unit 210,LEO Enterprise Crescent, , ,Lisburn,Co. Antrim,Northern Ireland,BT28 2SA,"47,646",11-Sep-12,14-Sep-12,Grant For Research And Development,0,"79,410",Creative,N,Research and Development,LISBURN,2
Clover 51 Limited,Unit 1,Crebilly Business Park,Bog Road, ,Ballymena,Co. Antrim,Northern Ireland,BT42 4HH,"33,240",11-Jul-13,29-Jul-13,Growth Accelerator Programme (GAP),4,"154,900",Business Services,Y,Job Creation,BALLYMENA,1
Clover Peat Products Limited,16,Derrylaughan Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4QR,"17,300",6-Sep-13,11-Sep-13,Growth Accelerator Programme (GAP),0,"43,250",Horticulture,N,Other,DUNGANNON,6
Club Marketing Services Ltd, ,The Pavilion,Stormont Estate,Upper Newtownards Road,Belfast, ,Northern Ireland,BT4 3TA,"3,596",27-Jul-12,30-Jul-12,MIS,0,"9,494",Business Services,N,Innovation and Technical Development,BELFAST,1
Club Marketing Services Ltd, ,The Pavilion,Stormont Estate,Upper Newtownards Road,Belfast, ,Northern Ireland,BT4 3TA,"14,000",4-Jun-13,14-Jun-13,Selective Financial Assistance (The Jobs Fund),2,"64,000",Business Services,N,Job Creation,BELFAST,1
Club Marketing Services Ltd, ,The Pavilion,Stormont Estate,Upper Newtownards Road,Belfast, ,Northern Ireland,BT4 3TA,"26,525",10-Jun-13,17-Jun-13,Grant For Research And Development,0,"46,535",Business Services,N,Research and Development,BELFAST,1
CM Precision Components Ltd,3,Brannish Road, , ,Downpatrick,Co. Down,Northern Ireland,BT30 6LL,"35,000",24-Jun-14,28-Jun-14,Selective Financial Assistance (The Jobs Fund),5,"180,000",Transport,N,Job Creation,DOWN,14
Cmass Ltd,5a,McKinney Road, , ,Mallusk,Co. Antrim,Northern Ireland,BT36 4PE,"2,000",30-Dec-11,11-Jan-12,Business Growth Programme (The Jobs Fund),0,"4,000",Telecoms,N,Other,ANTRIM,22
Cmass Ltd,5a,McKinney Road, , ,Mallusk,Co. Antrim,Northern Ireland,BT36 4PE,"46,774",13-Mar-12,14-Mar-12,BITp,0,"133,641",Telecoms,N,Skills Development,NEWTOWNABBEY,22
Cmass Ltd,5a,McKinney Road, , ,Mallusk,Co. Antrim,Northern Ireland,BT36 4PE,"8,800",25-Sep-12,19-Oct-12,Business Growth Programme (The Jobs Fund),1,"44,000",Telecoms,Y,Job Creation,NEWTOWNABBEY,22
Cmass Ltd,5a,McKinney Road, , ,Mallusk,Co. Antrim,Northern Ireland,BT36 4PE,"15,786",31-Jan-14,3-Feb-14,MIS,0,"35,920",Telecoms,N,Innovation and Technical Development,NEWTOWNABBEY,22
CMG Plumbing and Heating,4,Moss Road,Coagh, ,Cookstown,Co. Tyrone,Northern Ireland,BT80 0BZ,"38,400",8-Apr-14,1-May-14,Export Start,6,"249,000",Renewable Energy Products,Y,Job Creation,COOKSTOWN,3
CMMT Ltd,25,Charlestown Avenue,Charlestown Road Industrial Estate, ,Craigavon,Co. Armagh,Northern Ireland,BT63 5ZF,"7,124",16-Sep-13,23-Sep-13,MIS,0,"19,969",Construction Products,N,Innovation and Technical Development,CRAIGAVON,11
